AthleteID,Sex,BestMedal,NSeasons
100321,M,None,1
100322,M,None,2
100323,M,Gold,1
100324,M,None,1
100325,M,None,1
100326,M,None,1
100327,M,None,2
100328,M,None,3
100329,M,None,2
10033,M,Gold,6
100330,M,Silver,2
100331,M,None,1
100332,M,None,1
100333,F,Bronze,1
100334,F,None,1
100335,F,None,1
100336,F,None,1
100337,F,None,1
100338,M,None,1
100339,M,None,1
10034,M,None,1
100340,M,None,1
100341,M,None,1
100342,M,None,1
100343,M,None,1
100344,F,None,1
100345,F,None,1
100346,M,None,1
100347,F,None,2
100348,F,None,2
100349,F,None,2
10035,M,None,1
100350,F,None,1
100351,M,Gold,1
100352,M,None,1
100353,M,None,1
100354,F,Silver,2
100355,M,None,1
100356,M,None,1
100357,F,None,1
100358,F,None,1
100359,F,None,1
10036,M,None,1
100360,M,Bronze,2
100361,F,Gold,1
100362,F,None,1
100363,M,None,1
100364,M,None,1
100365,M,None,1
100367,M,None,2
100368,M,None,1
100369,F,None,1
10037,M,Silver,1
100370,M,None,2
100371,M,None,1
100372,M,None,1
100373,M,None,1
100374,F,None,1
100375,F,None,1
100376,M,None,1
100377,M,None,1
100378,M,None,1
100379,M,None,1
10038,M,None,1
100380,M,Silver,3
100381,M,None,1
100382,F,None,1
100383,M,None,1
100384,F,None,1
100385,M,None,1
100386,F,None,2
100387,F,None,2
100388,M,Silver,3
100389,M,None,1
10039,M,None,1
100390,F,Gold,5
100391,M,None,2
100392,M,None,1
100393,M,None,2
100394,M,None,1
100395,M,None,1
100396,M,None,1
100397,M,None,1
100398,F,None,2
100399,M,None,1
1004,M,None,1
10040,F,None,1
100400,M,None,1
100401,M,None,1
100402,M,None,2
100403,F,None,1
100404,M,None,1
100405,M,None,2
100406,M,None,1
100407,M,None,2
100408,F,None,1
100409,M,None,1
10041,F,None,2
100410,M,None,1
100411,M,None,3
100412,F,None,1
100413,M,None,1
100414,M,None,1
100415,M,None,1
100416,F,None,1
100417,F,None,1
100418,M,None,1
100419,M,None,4
10042,F,None,2
100420,M,None,1
100421,M,None,2
100422,F,None,3
100423,M,Gold,4
100424,M,None,1
100425,M,None,1
100427,M,None,1
100428,F,Bronze,1
100429,M,Gold,2
10043,M,None,3
100430,M,Gold,4
100431,F,None,1
100432,F,None,1
100433,M,Gold,3
100434,M,None,1
100435,M,None,2
100436,M,None,1
100437,F,None,1
100438,M,None,1
100439,M,None,1
10044,M,None,1
100440,M,None,1
100441,M,None,1
100444,M,None,1
100445,M,None,1
100446,M,None,1
100447,M,None,1
100448,F,None,2
100449,M,None,2
10045,M,None,2
100451,M,None,1
100452,M,None,1
100453,M,None,1
100454,M,None,1
100455,F,Gold,2
100456,M,Silver,1
100458,M,Bronze,1
100459,M,None,1
10046,M,None,1
100460,M,Gold,4
